id,title,source,url,keyword,risk_score,impact_direction,created_at
53,Taiwan drone exports soar on Ukraine war,Hurriyet Daily News,https://www.hurriyetdailynews.com/taiwan-drone-exports-soar-on-ukraine-war-222548,export,0.8,negative,2026-05-28 00:46:19.612957
41,How dangerous ARE portable chargers on planes? Why an entire easyJet flight was diverted over a power bank - and the other items to avoid packing,Dailymail.com,https://www.dailymail.com/travel/article-15848451/How-dangerous-portable-chargers-planes-entire-easyJet-flight-diverted-power-bank-items-avoid-packing.html,ban,0.9,negative,2026-05-28 00:46:19.611216
21,"India, US strike critical minerals deal: What’s in it, why does it matter?",Al Jazeera English,https://www.aljazeera.com/economy/2026/5/26/india-us-strike-critical-minerals-deal-whats-in-it-why-does-it-matter,strike,0.7,negative,2026-05-28 00:46:19.601874
11,Every air traveler must know these power bank packing rules,Cult of Mac,https://www.cultofmac.com/news/power-bank-checked-baggage-faa-rules,ban,0.9,negative,2026-05-28 00:46:19.601360
